isocode,year,CKON,GKON,IKON,EXPK,IMPK,CCUR,GCUR,ICUR,EXPC,IMPC,XRAT,POP
MMR,yr1956,,,13499100277,4676917095,8540139633,4440000000,1100000000,919000000,1140000000,1690000000,4.762,20548972.45
MMR,yr1957,,,15971462965,4807132884,12037868339,5170000000,1210000000,1010000000,1150000000,2390000000,4.761,20947981.64
MMR,yr1958,,,13449653023,3884771044,9552172812,5320000000,1370000000,920000000,907000000,2090000000,4.762,21346990.82
MMR,yr1959,,,17009855294,4318823674,11238894777,5180000000,1410000000,999000000,1010000000,1900000000,4.761,21746000
MMR,yr1960,,,15674779443,5132672357,15411312269,5840000000,1570000000,936000000,1180000000,2310000000,4.762,21746000
MMR,yr1961,,,15526437681,4383931569,13333981007,6040000000,1510000000,947000000,1000000000,2000000000,4.762,22192300
MMR,yr1962,,,16317593742,4503296042,12570517381,6090000000,1640000000,1010000000,1210000000,1850000000,4.761,22656200
MMR,yr1963,,,16515382757,4340526306,11878073627,7560000000,1460000000,1070000000,1200000000,1940000000,4.762,23139260
MMR,yr1964,,,15031965144,3841365781,11593994138,6800000000,1610000000,989000000,1090000000,1920000000,4.762,23642610
MMR,yr1965,,,29074985212,3515826308,13635815464,7260000000,1800000000,1890000000,1040000000,2500000000,4.761,24167000
MMR,yr1966,,,5587539675,2984111835,8131775368,7950000000,1830000000,434000000,886000000,1420000000,4.762,24712760
MMR,yr1967,,,18246036638,2018344732,7581371358,8190000000,1810000000,1330000000,640000000,1440000000,4.763,25279810
MMR,yr1968,,,26305939002,1486630260,6622603083,9330000000,1700000000,1960000000,494000000,1340000000,4.762,25867690
MMR,yr1969,,,23635787299,1714507891,7510351486,10300000000,1780000000,1690000000,528000000,1330000000,4.762,26475520
MMR,yr1970,,,26454280763,1888128943,8611159505,10700000000,1880000000,1930000000,512000000,1580000000,4.764,27102000
MMR,yr1971,,,21954580671,2300478942,7581371358,11000000000,1910000000,1640000000,559000000,1510000000,4.815,27758670
MMR,yr1972,,,22498500462,2408992100,7261781933,11200000000,2060000000,1750000000,635000000,1630000000,5.454,28424340
MMR,yr1973,,,19037192699,1964088153,4740576470,12100000000,2230000000,1690000000,651000000,1240000000,4.903,29095050
MMR,yr1974,,,20570057565,1768764470,3160384313,14700000000,2790000000,2000000000,912000000,1020000000,4.858,29767880
MMR,yr1975,,,21657897148,1540886839,3799563163,18000000000,3420000000,2340000000,1190000000,1440000000,6.449,30441000
MMR,yr1976,,,22547947716,1692805259,3799563163,20900000000,3970000000,2840000000,1410000000,1630000000,6.77,31110340
MMR,yr1977,,,27443225838,1974939469,4758331438,22000000000,4180000000,3850000000,1730000000,2090000000,7.125,31769610
MMR,yr1978,,,37975490890,1920682890,6551583211,23000000000,4390000000,5780000000,1840000000,3220000000,6.86,32430030
MMR,yr1979,,,44304739371,2582613152,6249748754,24400000000,4650000000,7880000000,2680000000,4310000000,6.65,33110470
MMR,yr1980,,,47024338328,2799639467,8966258866,26700000000,5080000000,8290000000,3180000000,4640000000,6.607,33821000
MMR,yr1981,,,53897506601,2799639467,10386656311,29600000000,5640000000,9840000000,3430000000,5610000000,7.282,34553000
MMR,yr1982,,,53897506601,2810490783,11469709362,33400000000,6360000000,10400000000,3000000000,6310000000,7.791,35298900
